央视频道,#genre#
CCTV1,http://182.114.247.179:8686/udp/225.1.4.73:1102
CCTV1,http://182.114.247.179:8686/udp/225.1.4.1:1030
CCTV1,http://114.243.96.63:8686/rtp/239.3.1.129:8008
CCTV1,http://202.99.141.84:8686/rtp/239.253.92.83:8012
CCTV2,http://182.114.247.179:8686/udp/225.1.4.74:1103
CCTV2,http://182.114.247.179:8686/udp/225.1.4.2:1031
CCTV2,http://114.243.96.63:8686/rtp/239.3.1.60:8084
CCTV2,http://202.99.141.84:8686/rtp/239.253.92.190:6065
CCTV3,http://182.114.247.179:8686/udp/225.1.4.158:1194
CCTV3,http://114.243.96.63:8686/rtp/239.3.1.172:8001
CCTV3,http://202.99.141.84:8686/rtp/239.253.92.191:6057
CCTV4,http://182.114.247.179:8686/udp/225.1.5.30:1333
CCTV4,http://182.114.247.179:8686/udp/225.1.5.31:1342
CCTV4,http://114.243.96.63:8686/rtp/239.3.1.105:8092
CCTV4,http://114.243.96.63:8686/rtp/239.3.1.213:4220
CCTV4,http://202.99.141.84:8686/rtp/239.253.93.192:6370
CCTV4K,http://202.99.141.84:8686/rtp/239.253.93.134:6631
CCTV4亚洲,http://202.99.141.84:8686/rtp/239.253.92.251:6141
CCTV4美洲,http://182.114.247.179:8686/udp/225.1.5.32:1343
CCTV4美洲,http://114.243.96.63:8686/rtp/239.3.1.214:4220
CCTV4美洲,http://202.99.141.84:8686/rtp/239.253.93.193:6371
CCTV5,http://182.114.247.179:8686/udp/225.1.4.159:1195
CCTV5,http://114.243.96.63:8686/rtp/239.3.1.173:8001
CCTV5,http://202.99.141.84:8686/rtp/239.253.92.181:6046
CCTV5+,http://182.114.247.179:8686/udp/225.1.4.75:1104
CCTV5+,http://114.243.96.63:8686/rtp/239.3.1.130:8004
CCTV5+,http://202.99.141.84:8686/rtp/239.253.92.82:8013
CCTV6,http://182.114.247.179:8686/udp/225.1.4.160:1196
CCTV6,http://114.243.96.63:8686/rtp/239.3.1.174:8001
CCTV6,http://202.99.141.84:8686/rtp/239.253.92.193:6058
CCTV7,http://182.114.247.179:8686/udp/225.1.4.76:1105
CCTV7,http://182.114.247.179:8686/udp/225.1.4.7:1036
CCTV7,http://114.243.96.63:8686/rtp/239.3.1.61:8104
CCTV7,http://202.99.141.84:8686/rtp/239.253.92.194:6059
CCTV8,http://182.114.247.179:8686/udp/225.1.4.161:1197
CCTV8,http://114.243.96.63:8686/rtp/239.3.1.175:8001
CCTV8,http://202.99.141.84:8686/rtp/239.253.92.195:6060
CCTV9,http://182.114.247.179:8686/udp/225.1.4.77:1106
CCTV9,http://182.114.247.179:8686/udp/225.1.4.9:1038
CCTV9,http://114.243.96.63:8686/rtp/239.3.1.62:8112
CCTV9,http://202.99.141.84:8686/rtp/239.253.92.107:6020
CCTV10,http://182.114.247.179:8686/udp/225.1.4.10:1039
CCTV10,http://114.243.96.63:8686/rtp/239.3.1.63:8116
CCTV10,http://202.99.141.84:8686/rtp/239.253.92.196:6061
CCTV11,http://182.114.247.179:8686/udp/225.1.4.215:1268
CCTV11,http://182.114.247.179:8686/udp/225.1.4.11:1040
CCTV11,http://114.243.96.63:8686/rtp/239.3.1.152:8120
CCTV11,http://202.99.141.84:8686/rtp/239.253.93.153:6321
CCTV12,http://182.114.247.179:8686/udp/225.1.4.79:1108
CCTV12,http://182.114.247.179:8686/udp/225.1.4.12:1041
CCTV12,http://114.243.96.63:8686/rtp/239.3.1.64:8124
CCTV12,http://202.99.141.84:8686/rtp/239.253.92.197:6062
CCTV13,http://182.114.247.179:8686/udp/225.1.4.113:1293
CCTV13,http://182.114.247.179:8686/udp/225.1.4.13:1042
CCTV13,http://114.243.96.63:8686/rtp/239.3.1.124:8128
CCTV13,http://202.99.141.84:8686/rtp/239.253.92.13:8008
CCTV14,http://182.114.247.179:8686/udp/225.1.4.80:1109
CCTV14,http://182.114.247.179:8686/udp/225.1.4.14:1043
CCTV14,http://114.243.96.63:8686/rtp/239.3.1.65:8132
CCTV14,http://202.99.141.84:8686/rtp/239.253.92.198:6063
CCTV15,http://182.114.247.179:8686/udp/225.1.4.216:1269
CCTV15,http://182.114.247.179:8686/udp/225.1.4.15:1044
CCTV15,http://114.243.96.63:8686/rtp/239.3.1.153:8136
CCTV15,http://202.99.141.84:8686/rtp/239.253.93.154:6322
CCTV16,http://114.243.96.63:8686/rtp/239.3.1.184:8001
CCTV16[R],http://114.243.96.63:8686/rtp/239.3.1.183:8001
CCTV17,http://182.114.247.179:8686/udp/225.1.4.226:2506
CCTV17,http://182.114.247.179:8686/udp/225.1.4.227:2507
CCTV17,http://114.243.96.63:8686/rtp/239.3.1.151:8144
CCTV17,http://202.99.141.84:8686/rtp/239.253.93.150:6318
CCTV世界地理,http://202.99.141.84:8686/rtp/239.253.92.113:8066
CCTV世界地理,http://202.99.141.84:8686/rtp/239.253.92.131:6113
CCTV怀旧剧场,http://202.99.141.84:8686/rtp/239.253.92.98:6120
CCTV怀旧剧场,http://202.99.141.84:8686/rtp/239.253.93.252:6430
CCTV球,http://202.99.141.84:8686/rtp/239.253.93.231:6409
CCTV第一剧场,http://202.99.141.84:8686/rtp/239.253.92.18:6079
CCTV第一剧场,http://202.99.141.84:8686/rtp/239.253.93.138:6428
CCTV风云剧场,http://202.99.141.84:8686/rtp/239.253.92.22:6073
CCTV风云剧场,http://202.99.141.84:8686/rtp/239.253.93.251:6429
CCTV风云足球,http://202.99.141.84:8686/rtp/239.253.92.110:8061
CCTV风云足球,http://202.99.141.84:8686/rtp/239.253.93.254:6432
CCTV风云音乐,http://202.99.141.84:8686/rtp/239.253.92.111:8060
CCTV风云音乐,http://202.99.141.84:8686/rtp/239.253.93.253:6431
CGTN,http://182.114.247.179:8686/udp/225.1.4.16:1045
CGTN俄语,http://182.114.247.179:8686/udp/225.1.5.39:1349
CGTN俄语,http://114.243.96.63:8686/rtp/239.3.1.220:4220
CGTN俄语,http://202.99.141.84:8686/rtp/239.253.93.199:6377
CGTN国际,http://202.99.141.84:8686/rtp/239.253.92.15:8011
CGTN新闻,http://114.243.96.63:8686/rtp/239.3.1.215:4220
CGTN法语,http://182.114.247.179:8686/udp/225.1.5.37:1347
CGTN法语,http://114.243.96.63:8686/rtp/239.3.1.218:4220
CGTN法语,http://202.99.141.84:8686/rtp/239.253.93.197:6375
CGTN英文记录,http://182.114.247.179:8686/udp/225.1.5.35:1345
CGTN英文记录,http://202.99.141.84:8686/rtp/239.253.93.195:6373
CGTN英语,http://182.114.247.179:8686/udp/225.1.5.34:1344
CGTN西班牙语,http://182.114.247.179:8686/udp/225.1.5.36:1346
CGTN西班牙语,http://114.243.96.63:8686/rtp/239.3.1.217:4220
CGTN西班牙语,http://202.99.141.84:8686/rtp/239.253.93.196:6374
CGTN记录,http://114.243.96.63:8686/rtp/239.3.1.216:4220
CGTN阿拉伯语,http://182.114.247.179:8686/udp/225.1.5.38:1348
CGTN阿拉伯语,http://114.243.96.63:8686/rtp/239.3.1.219:4220
CGTN阿拉伯语,http://202.99.141.84:8686/rtp/239.253.93.198:6376
卫视频道,#genre#
中国教育1卫视,http://114.243.96.63:8686/rtp/239.3.1.57:8152
中国教育1卫视,http://202.99.141.84:8686/rtp/239.253.92.211:6069
河南卫视4K,http://182.114.247.179:8686/udp/225.1.4.254:1300
CHC动作电影,http://182.114.247.179:8686/udp/225.1.4.208:1261
CHC家庭影院,http://182.114.247.179:8686/udp/225.1.4.209:1262
CHC高清电影,http://182.114.247.179:8686/udp/225.1.4.207:1260
三沙卫视,http://182.114.247.179:8686/udp/225.1.4.234:1280
三沙卫视,http://114.243.96.63:8686/rtp/239.3.1.155:4120
东南卫视,http://182.114.247.179:8686/udp/225.1.4.228:1274
东南卫视,http://182.114.247.179:8686/udp/225.1.4.32:1061
东南卫视,http://114.243.96.63:8686/rtp/239.3.1.156:8148
东南卫视,http://202.99.141.84:8686/rtp/239.253.92.201:6146
东方卫视,http://182.114.247.179:8686/udp/225.1.4.85:1114
东方卫视,http://182.114.247.179:8686/udp/225.1.4.22:1051
东方卫视,http://114.243.96.63:8686/rtp/239.3.1.136:8032
东方卫视,http://202.99.141.84:8686/rtp/239.253.92.89:8019
云南卫视,http://182.114.247.179:8686/udp/225.1.4.152:1307
云南卫视,http://182.114.247.179:8686/udp/225.1.4.33:1062
云南卫视,http://114.243.96.63:8686/rtp/239.3.1.26:8108
兵团卫视,http://114.243.96.63:8686/rtp/239.3.1.144:4120
兵团卫视,http://202.99.141.84:8686/rtp/239.253.93.176:6344
内蒙古卫视,http://182.114.247.179:8686/udp/225.1.4.45:1074
内蒙古卫视,http://114.243.96.63:8686/rtp/239.3.1.43:8176
北京卫视,http://182.114.247.179:8686/udp/225.1.4.81:1110
北京卫视,http://182.114.247.179:8686/udp/225.1.4.21:1050
北京卫视,http://114.243.96.63:8686/rtp/239.3.1.241:8000
北京卫视,http://202.99.141.84:8686/rtp/239.253.92.87:8014
南方卫视,http://114.243.96.63:8686/rtp/239.3.1.161:8001
厦门卫视,http://182.114.247.179:8686/udp/225.1.4.95:1124
厦门卫视,http://114.243.96.63:8686/rtp/239.3.1.143:4120
吉林卫视,http://182.114.247.179:8686/udp/225.1.4.174:1309
吉林卫视,http://182.114.247.179:8686/udp/225.1.4.36:1065
吉林卫视,http://114.243.96.63:8686/rtp/239.3.1.240:8172
吉林卫视,http://202.99.141.84:8686/rtp/239.253.92.202:6147
四川卫视,http://182.114.247.179:8686/udp/225.1.4.151:1306
四川卫视,http://182.114.247.179:8686/udp/225.1.4.40:1069
四川卫视,http://114.243.96.63:8686/rtp/239.3.1.29:8288
四川卫视,http://202.99.141.84:8686/rtp/239.253.92.16:6043
天津卫视,http://182.114.247.179:8686/udp/225.1.4.86:1115
天津卫视,http://182.114.247.179:8686/udp/225.1.4.24:1053
天津卫视,http://114.243.96.63:8686/rtp/239.3.1.141:1234
天津卫视,http://202.99.141.84:8686/rtp/239.253.92.91:8021
宁夏卫视,http://182.114.247.179:8686/udp/225.1.4.43:1072
宁夏卫视,http://114.243.96.63:8686/rtp/239.3.1.46:8124
安徽卫视,http://182.114.247.179:8686/udp/225.1.4.87:1116
安徽卫视,http://182.114.247.179:8686/udp/225.1.4.20:1049
安徽卫视,http://114.243.96.63:8686/rtp/239.3.1.211:8064
安徽卫视,http://202.99.141.84:8686/rtp/239.253.92.209:6566
山东卫视,http://182.114.247.179:8686/udp/225.1.4.88:1117
山东卫视,http://182.114.247.179:8686/udp/225.1.4.27:1056
山东卫视,http://114.243.96.63:8686/rtp/239.3.1.209:8052
山东卫视,http://202.99.141.84:8686/rtp/239.253.92.207:8109
山东教育卫视,http://114.243.96.63:8686/rtp/239.3.1.52:4120
山东教育卫视,http://202.99.141.84:8686/rtp/239.253.92.106:6135
山西卫视,http://182.114.247.179:8686/udp/225.1.4.38:1067
山西卫视,http://114.243.96.63:8686/rtp/239.3.1.42:8172
广东卫视,http://182.114.247.179:8686/udp/225.1.4.166:1207
广东卫视,http://182.114.247.179:8686/udp/225.1.4.30:1059
广东卫视,http://114.243.96.63:8686/rtp/239.3.1.142:8048
广东卫视,http://202.99.141.84:8686/rtp/239.253.92.206:8108
广西卫视,http://182.114.247.179:8686/udp/225.1.4.31:1060
广西卫视,http://114.243.96.63:8686/rtp/239.3.1.39:8300
广西卫视,http://202.99.141.84:8686/rtp/239.253.92.76:8043
新疆兵团卫视,http://182.114.247.179:8686/udp/225.1.4.97:1126
新疆卫视,http://182.114.247.179:8686/udp/225.1.4.47:1076
新疆卫视,http://114.243.96.63:8686/rtp/239.3.1.48:8160
江苏卫视,http://182.114.247.179:8686/udp/225.1.4.83:1112
江苏卫视,http://182.114.247.179:8686/udp/225.1.4.18:1047
江苏卫视,http://114.243.96.63:8686/rtp/239.3.1.135:8028
江苏卫视,http://202.99.141.84:8686/rtp/239.253.92.88:8018
江西卫视,http://182.114.247.179:8686/udp/225.1.4.139:1305
江西卫视,http://182.114.247.179:8686/udp/225.1.4.37:1066
江西卫视,http://114.243.96.63:8686/rtp/239.3.1.123:8164
江西卫视,http://202.99.141.84:8686/rtp/239.253.92.19:6145
河北卫视,http://182.114.247.179:8686/udp/225.1.4.123:1304
河北卫视,http://182.114.247.179:8686/udp/225.1.4.34:1063
河北卫视,http://114.243.96.63:8686/rtp/239.3.1.148:8072
河北卫视,http://202.99.141.84:8686/rtp/239.253.92.154:6011
河南卫视,http://182.114.247.179:8686/udp/225.1.5.45:1355
河南卫视,http://182.114.247.179:8686/udp/225.1.4.98:1127
河南卫视,http://182.114.247.179:8686/udp/225.1.4.51:1080
河南卫视,http://182.114.247.179:8686/udp/225.1.5.42:1352
河南卫视,http://114.243.96.63:8686/rtp/239.3.1.27:8128
河南卫视,http://202.99.141.84:8686/rtp/239.253.92.137:6144
浙江卫视,http://182.114.247.179:8686/udp/225.1.4.84:1113
浙江卫视,http://182.114.247.179:8686/udp/225.1.4.19:1048
浙江卫视,http://114.243.96.63:8686/rtp/239.3.1.137:8036
浙江卫视,http://202.99.141.84:8686/rtp/239.253.92.90:8020
海南卫视,http://182.114.247.179:8686/udp/225.1.4.195:1310
海南卫视,http://182.114.247.179:8686/udp/225.1.4.25:1054
海南卫视,http://114.243.96.63:8686/rtp/239.3.1.45:8304
海南卫视,http://202.99.141.84:8686/rtp/239.253.93.155:6323
深圳卫视,http://182.114.247.179:8686/udp/225.1.4.90:1119
深圳卫视,http://182.114.247.179:8686/udp/225.1.4.23:1052
深圳卫视,http://114.243.96.63:8686/rtp/239.3.1.134:8020
深圳卫视,http://202.99.141.84:8686/rtp/239.253.92.86:8017
湖北卫视,http://182.114.247.179:8686/udp/225.1.4.89:1118
湖北卫视,http://182.114.247.179:8686/udp/225.1.4.35:1064
湖北卫视,http://114.243.96.63:8686/rtp/239.3.1.138:8044
湖北卫视,http://202.99.141.84:8686/rtp/239.253.92.210:6567
湖南卫视,http://182.114.247.179:8686/udp/225.1.4.82:1111
湖南卫视,http://182.114.247.179:8686/udp/225.1.4.17:1046
